NUMBER	CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX
20	NOR	4000	no.imputation	THL	49	3.14	40	70	50	40	50	45.86	52.14
20	NOR	5000	no.imputation	THL	50	3.33	40	70	50	40	50	46.67	53.33
20	NOR	6000	no.imputation	THL	54	4.27	40	80	50	42.5	60	49.73	58.27
20	NOR	7000	no.imputation	THL	54	4	40	80	50	50	57.5	50	58
20	NOR	8000	no.imputation	THL	55	3.42	40	70	55	50	60	51.58	58.42
20	NOR	9000	no.imputation	THL	51	3.14	40	70	50	42.5	57.5	47.86	54.14
20	NOR	10156	no.imputation	THL	54.44	2.94	40	70	50	50	60	51.5	57.38
20	SOU	100	no.imputation	THL	45	3.42	30	60	45	40	50	41.58	48.42
20	SOU	200	no.imputation	THL	53	4.23	30	70	55	42.5	60	48.77	57.23
20	SOU	500	no.imputation	THL	58	3.89	40	80	55	50	67.5	54.11	61.89
20	SOU	1000	no.imputation	THL	54	4	30	70	55	50	60	50	58
20	SOU	2000	no.imputation	THL	57.78	3.24	40	70	60	50	60	54.54	61.02
20	SOU	3000	no.imputation	THL	57	2.6	50	70	55	50	60	54.4	59.6
20	SOU	4000	no.imputation	THL	60	3.33	50	80	60	50	67.5	56.67	63.33
20	SOU	5000	no.imputation	THL	64.44	3.38	50	80	60	60	70	61.06	67.82
20	SOU	6000	no.imputation	THL	70	2.58	60	80	70	62.5	77.5	67.42	72.58
20	SOU	7000	no.imputation	THL	68	3.59	50	90	70	60	70	64.41	71.59
20	SOU	8000	no.imputation	THL	69	3.79	50	90	70	60	77.5	65.21	72.79
20	SOU	9000	no.imputation	THL	67	3.67	50	90	65	60	70	63.33	70.67
20	SOU	10156	no.imputation	THL	70	3.73	60	90	70	60	80	66.27	73.73
20	OVERALL	100	no.imputation	THL	44	1	43	45	44	43.5	44.5	43	45
20	OVERALL	200	no.imputation	THL	50.5	2.5	48	53	50.5	49.25	51.75	48	53
20	OVERALL	500	no.imputation	THL	53.5	4.5	49	58	53.5	51.25	55.75	49	58
20	OVERALL	1000	no.imputation	THL	48.5	5.5	43	54	48.5	45.75	51.25	43	54
20	OVERALL	2000	no.imputation	THL	55.55	2.23	53.33	57.78	55.55	54.44	56.67	53.32	57.78
20	OVERALL	3000	no.imputation	THL	51.5	5.5	46	57	51.5	48.75	54.25	46	57
20	OVERALL	4000	no.imputation	THL	54.5	5.5	49	60	54.5	51.75	57.25	49	60
20	OVERALL	5000	no.imputation	THL	57.22	7.22	50	64.44	57.22	53.61	60.83	50	64.44
20	OVERALL	6000	no.imputation	THL	62	8	54	70	62	58	66	54	70
20	OVERALL	7000	no.imputation	THL	61	7	54	68	61	57.5	64.5	54	68
20	OVERALL	8000	no.imputation	THL	62	7	55	69	62	58.5	65.5	55	69
20	OVERALL	9000	no.imputation	THL	59	8	51	67	59	55	63	51	67
20	OVERALL	10156	no.imputation	THL	62.22	7.78	54.44	70	62.22	58.33	66.11	54.44	70
20	NOR	100	no.imputation	THL	48	3.27	40	70	45	40	50	44.73	51.27
20	NOR	200	no.imputation	THL	51	2.33	40	60	50	50	57.5	48.67	53.33
20	NOR	500	no.imputation	THL	56	4	30	70	60	52.5	60	52	60
20	NOR	1000	no.imputation	THL	50	4.47	30	70	45	40	60	45.53	54.47
20	NOR	2000	no.imputation	THL	40	2.98	20	50	40	40	47.5	37.02	42.98
20	NOR	3000	no.imputation	THL	46	2.21	40	60	45	40	50	43.79	48.21
20	NOR	4000	no.imputation	THL	44	4	30	60	40	32.5	57.5	40	48
20	NOR	5000	no.imputation	THL	45	5	30	80	40	32.5	50	40	50
20	NOR	6000	no.imputation	THL	49	3.48	30	70	50	42.5	50	45.52	52.48
20	NOR	7000	no.imputation	THL	49	3.48	30	70	50	42.5	50	45.52	52.48
20	NOR	8000	no.imputation	THL	43	3.35	30	60	45	32.5	50	39.65	46.35
20	NOR	9000	no.imputation	THL	42	4.67	20	60	40	30	57.5	37.33	46.67
20	NOR	10156	no.imputation	THL	47	3.67	20	60	50	42.5	50	43.33	50.67
20	SOU	100	no.imputation	THL	55	5.63	20	80	60	42.5	67.5	49.37	60.63
20	SOU	200	no.imputation	THL	61	5.47	40	100	60	52.5	67.5	55.53	66.47
20	SOU	500	no.imputation	THL	68	3.27	50	80	70	60	77.5	64.73	71.27
20	SOU	1000	no.imputation	THL	72	5.33	40	90	75	60	87.5	66.67	77.33
20	SOU	2000	no.imputation	THL	72	3.59	60	100	70	70	70	68.41	75.59
20	SOU	3000	no.imputation	THL	80	3.65	60	90	80	80	90	76.35	83.65
20	SOU	4000	no.imputation	THL	78	5.12	50	100	80	70	87.5	72.88	83.12
20	SOU	5000	no.imputation	THL	85	3.42	70	100	85	80	90	81.58	88.42
20	SOU	6000	no.imputation	THL	87	3	70	100	90	80	90	84	90
20	SOU	7000	no.imputation	THL	87	2.6	70	100	90	82.5	90	84.4	89.6
20	SOU	8000	no.imputation	THL	89	2.33	80	100	90	82.5	90	86.67	91.33
20	SOU	9000	no.imputation	THL	90	2.11	80	100	90	90	90	87.89	92.11
20	SOU	10156	no.imputation	THL	87	2.6	80	100	85	80	90	84.4	89.6
20	OVERALL	100	no.imputation	THL	51.5	3.5	48	55	51.5	49.75	53.25	48	55
20	OVERALL	200	no.imputation	THL	56	5	51	61	56	53.5	58.5	51	61
20	OVERALL	500	no.imputation	THL	62	6	56	68	62	59	65	56	68
20	OVERALL	1000	no.imputation	THL	61	11	50	72	61	55.5	66.5	50	72
20	OVERALL	2000	no.imputation	THL	56	16	40	72	56	48	64	40	72
20	OVERALL	3000	no.imputation	THL	63	17	46	80	63	54.5	71.5	46	80
20	OVERALL	4000	no.imputation	THL	61	17	44	78	61	52.5	69.5	44	78
20	OVERALL	5000	no.imputation	THL	65	20	45	85	65	55	75	45	85
20	OVERALL	6000	no.imputation	THL	68	19	49	87	68	58.5	77.5	49	87
20	OVERALL	7000	no.imputation	THL	68	19	49	87	68	58.5	77.5	49	87
20	OVERALL	8000	no.imputation	THL	66	23	43	89	66	54.5	77.5	43	89
20	OVERALL	9000	no.imputation	THL	66	24	42	90	66	54	78	42	90
20	OVERALL	10156	no.imputation	THL	67	20	47	87	67	57	77	47	87
36	NOR	100	no.imputation	THL	47.1	3.88	28	72	44	40.25	50	43.22	50.98
36	NOR	200	no.imputation	THL	46.1	5.03	28	72	41.5	34.5	58.25	41.07	51.13
36	NOR	500	no.imputation	THL	51	4.58	33	72	47	39	61	46.42	55.58
36	NOR	1000	no.imputation	THL	57.8	4.1	50	72	56	50	61	53.7	61.9
36	NOR	2000	no.imputation	THL	47.9	4.17	17	67	50	45.5	54.5	43.73	52.07
36	NOR	3000	no.imputation	THL	48.8	3.75	28	61	47	40.25	61	45.05	52.55
36	NOR	4000	no.imputation	THL	52.7	3.87	33	67	55.5	44	61	48.83	56.57
36	NOR	5000	no.imputation	THL	51.1	4.24	33	78	50	40.25	59.75	46.86	55.34
36	NOR	6000	no.imputation	THL	50	4.61	22	67	47	44	64.25	45.39	54.61
36	NOR	7000	no.imputation	THL	52.7	3.65	39	72	50	44	56	49.05	56.35
36	NOR	8000	no.imputation	THL	51	3.86	39	72	47	44	54.5	47.14	54.86
36	NOR	9000	no.imputation	THL	49.4	3.2	39	67	47	44	50	46.2	52.6
36	NOR	10156	no.imputation	THL	47.6	3.4	33	67	47	44	50	44.2	51
36	SOU	100	no.imputation	THL	54.1	1.93	44	67	56	50	56	52.17	56.03
36	SOU	200	no.imputation	THL	61.3	1.8	56	72	61	56	65.5	59.5	63.1
36	SOU	500	no.imputation	THL	71.2	1.75	67	83	69.5	67	72	69.45	72.95
36	SOU	1000	no.imputation	THL	75.6	3.78	61	83	78	78	78	71.82	79.38
36	SOU	2000	no.imputation	THL	83.8	3.35	61	94	89	79.25	89	80.45	87.15
36	SOU	3000	no.imputation	THL	87.7	1.93	78	94	89	84.5	92.75	85.77	89.63
36	SOU	4000	no.imputation	THL	88.8	2.59	78	100	89	83	94	86.21	91.39
36	SOU	5000	no.imputation	THL	91.5	1.9	83	100	91.5	89	94	89.6	93.4
36	SOU	6000	no.imputation	THL	91.5	2.26	83	100	91.5	84.5	98.5	89.24	93.76
36	SOU	7000	no.imputation	THL	89.9	2.55	78	100	91.5	84.5	94	87.35	92.45
36	SOU	8000	no.imputation	THL	91.4	1.7	83	100	94	89	94	89.7	93.1
36	SOU	9000	no.imputation	THL	93.3	1.59	89	100	91.5	89	98.5	91.71	94.89
36	SOU	10156	no.imputation	THL	97	1	94	100	97	94	100	96	98
36	OVERALL	100	no.imputation	THL	50.6	3.5	47.1	54.1	50.6	48.85	52.35	47.1	54.1
36	OVERALL	200	no.imputation	THL	53.7	7.6	46.1	61.3	53.7	49.9	57.5	46.1	61.3
36	OVERALL	500	no.imputation	THL	61.1	10.1	51	71.2	61.1	56.05	66.15	51	71.2
36	OVERALL	1000	no.imputation	THL	66.7	8.9	57.8	75.6	66.7	62.25	71.15	57.8	75.6
36	OVERALL	2000	no.imputation	THL	65.85	17.95	47.9	83.8	65.85	56.88	74.82	47.9	83.8
36	OVERALL	3000	no.imputation	THL	68.25	19.45	48.8	87.7	68.25	58.52	77.98	48.8	87.7
36	OVERALL	4000	no.imputation	THL	70.75	18.05	52.7	88.8	70.75	61.73	79.77	52.7	88.8
36	OVERALL	5000	no.imputation	THL	71.3	20.2	51.1	91.5	71.3	61.2	81.4	51.1	91.5
36	OVERALL	6000	no.imputation	THL	70.75	20.75	50	91.5	70.75	60.38	81.12	50	91.5
36	OVERALL	7000	no.imputation	THL	71.3	18.6	52.7	89.9	71.3	62	80.6	52.7	89.9
36	OVERALL	8000	no.imputation	THL	71.2	20.2	51	91.4	71.2	61.1	81.3	51	91.4
36	OVERALL	9000	no.imputation	THL	71.35	21.95	49.4	93.3	71.35	60.38	82.32	49.4	93.3
36	OVERALL	10156	no.imputation	THL	72.3	24.7	47.6	97	72.3	59.95	84.65	47.6	97
36	NOR	100	no.imputation	THL	56.2	3.56	39	72	56	50	64.25	52.64	59.76
36	NOR	200	no.imputation	THL	56.2	2.69	44	72	56	50	59.75	53.51	58.89
36	NOR	500	no.imputation	THL	54.9	4.03	39	78	50	45.5	61	50.87	58.93
36	NOR	1000	no.imputation	THL	54.6	2.63	39	67	56	51.5	59.75	51.97	57.23
36	NOR	2000	no.imputation	THL	57.67	2.78	39	67	56	56	61	54.89	60.45
36	NOR	3000	no.imputation	THL	49.5	1.82	39	56	50	45.5	54.5	47.68	51.32
36	NOR	4000	no.imputation	THL	54.44	2.29	44	67	56	50	56	52.15	56.73
36	NOR	5000	no.imputation	THL	54.4	3.13	44	72	53	45.5	59.75	51.27	57.53
36	NOR	6000	no.imputation	THL	56.2	2.88	44	67	56	50	65.5	53.32	59.08
36	NOR	7000	no.imputation	THL	58.4	2.94	44	72	58.5	56	65.5	55.46	61.34
36	NOR	8000	no.imputation	THL	59.1	2.65	39	67	61	56	65.5	56.45	61.75
36	NOR	9000	no.imputation	THL	56.7	2.95	39	72	58.5	56	61	53.75	59.65
36	NOR	10156	no.imputation	THL	54.44	2.06	50	67	50	50	56	52.38	56.5
36	SOU	100	no.imputation	THL	65.5	2.78	56	83	61	61	72	62.72	68.28
36	SOU	200	no.imputation	THL	69.9	2.31	56	83	72	68.25	72	67.59	72.21
36	SOU	500	no.imputation	THL	77.2	3.16	61	100	78	72	78	74.04	80.36
36	SOU	1000	no.imputation	THL	78.3	2.35	67	94	78	73.5	81.75	75.95	80.65
36	SOU	2000	no.imputation	THL	84	1.71	78	89	83	78	89	82.29	85.71
36	SOU	3000	no.imputation	THL	85	1.89	72	89	89	83	89	83.11	86.89
36	SOU	4000	no.imputation	THL	84	1.71	78	89	83	78	89	82.29	85.71
36	SOU	5000	no.imputation	THL	84.9	1.98	78	94	83	79.25	89	82.92	86.88
36	SOU	6000	no.imputation	THL	84.8	1.88	72	94	83	83	89	82.92	86.68
36	SOU	7000	no.imputation	THL	85.4	1.85	78	94	83	83	89	83.55	87.25
36	SOU	8000	no.imputation	THL	84.8	1.81	78	94	83	83	87.5	82.99	86.61
36	SOU	9000	no.imputation	THL	85.5	2.07	72	94	89	83	89	83.43	87.57
36	SOU	10156	no.imputation	THL	83.78	2.15	72	94	83	83	89	81.63	85.93
36	OVERALL	100	no.imputation	THL	60.85	4.65	56.2	65.5	60.85	58.53	63.17	56.2	65.5
36	OVERALL	200	no.imputation	THL	63.05	6.85	56.2	69.9	63.05	59.63	66.48	56.2	69.9
36	OVERALL	500	no.imputation	THL	66.05	11.15	54.9	77.2	66.05	60.47	71.62	54.9	77.2
36	OVERALL	1000	no.imputation	THL	66.45	11.85	54.6	78.3	66.45	60.53	72.38	54.6	78.3
36	OVERALL	2000	no.imputation	THL	70.84	13.16	57.67	84	70.84	64.25	77.42	57.68	84
36	OVERALL	3000	no.imputation	THL	67.25	17.75	49.5	85	67.25	58.38	76.12	49.5	85
36	OVERALL	4000	no.imputation	THL	69.22	14.78	54.44	84	69.22	61.83	76.61	54.44	84
36	OVERALL	5000	no.imputation	THL	69.65	15.25	54.4	84.9	69.65	62.02	77.28	54.4	84.9
36	OVERALL	6000	no.imputation	THL	70.5	14.3	56.2	84.8	70.5	63.35	77.65	56.2	84.8
36	OVERALL	7000	no.imputation	THL	71.9	13.5	58.4	85.4	71.9	65.15	78.65	58.4	85.4
36	OVERALL	8000	no.imputation	THL	71.95	12.85	59.1	84.8	71.95	65.53	78.38	59.1	84.8
36	OVERALL	9000	no.imputation	THL	71.1	14.4	56.7	85.5	71.1	63.9	78.3	56.7	85.5
36	OVERALL	10156	no.imputation	THL	69.11	14.67	54.44	83.78	69.11	61.77	76.44	54.44	83.78
36	NOR	100	no.imputation	THL	62.2	4.69	33	78	66.5	51.5	72	57.51	66.89
36	NOR	200	no.imputation	THL	64.4	4.18	44	83	67	57.25	72	60.22	68.58
36	NOR	500	no.imputation	THL	62.2	3.28	44	83	61	57.25	65.5	58.92	65.48
36	NOR	1000	no.imputation	THL	64.5	2.64	50	78	64	61	70.75	61.86	67.14
36	NOR	2000	no.imputation	THL	61.1	3.38	39	72	61	57.25	70.75	57.72	64.48
36	NOR	3000	no.imputation	THL	66.1	2.96	44	78	67	62.5	72	63.14	69.06
36	NOR	4000	no.imputation	THL	66.7	3.15	44	78	67	62.5	72	63.55	69.85
36	NOR	5000	no.imputation	THL	68.3	3.14	44	78	72	67	72	65.16	71.44
36	NOR	6000	no.imputation	THL	68.2	1.98	56	72	72	63.75	72	66.22	70.18
36	NOR	7000	no.imputation	THL	66.3	1.5	56	72	67	67	67	64.8	67.8
36	NOR	8000	no.imputation	THL	66.8	2.29	56	78	67	62.5	72	64.51	69.09
36	NOR	9000	no.imputation	THL	66.7	1.42	61	72	67	62.5	70.75	65.28	68.12
36	NOR	10156	no.imputation	THL	69.5	1.9	61	78	69.5	67	72	67.6	71.4
36	SOU	100	no.imputation	THL	63.9	1.68	56	72	61	61	67	62.22	65.58
36	SOU	200	no.imputation	THL	67.3	2.91	50	78	69.5	62.5	72	64.39	70.21
36	SOU	500	no.imputation	THL	76	3.59	61	94	75	68.25	83	72.41	79.59
36	SOU	1000	no.imputation	THL	82.1	2.3	72	94	83	78	87.5	79.8	84.4
36	SOU	2000	no.imputation	THL	83.3	2.98	72	100	80.5	78	89	80.32	86.28
36	SOU	3000	no.imputation	THL	85	3.75	67	100	86	79.25	92.75	81.25	88.75
36	SOU	4000	no.imputation	THL	84.9	2.04	72	94	86	83	89	82.86	86.94
36	SOU	5000	no.imputation	THL	84.4	1.78	78	94	83	79.25	89	82.62	86.18
36	SOU	6000	no.imputation	THL	87.6	1.39	83	94	89	83	89	86.21	88.99
36	SOU	7000	no.imputation	THL	87	1.83	78	94	86	83	92.75	85.17	88.83
36	SOU	8000	no.imputation	THL	87.6	2.42	72	94	89	84.5	94	85.18	90.02
36	SOU	9000	no.imputation	THL	88.2	1.7	78	94	89	84.5	92.75	86.5	89.9
36	SOU	10156	no.imputation	THL	90.9	1.69	83	100	91.5	89	94	89.21	92.59
36	OVERALL	100	no.imputation	THL	63.05	0.85	62.2	63.9	63.05	62.63	63.47	62.2	63.9
36	OVERALL	200	no.imputation	THL	65.85	1.45	64.4	67.3	65.85	65.12	66.57	64.4	67.3
36	OVERALL	500	no.imputation	THL	69.1	6.9	62.2	76	69.1	65.65	72.55	62.2	76
36	OVERALL	1000	no.imputation	THL	73.3	8.8	64.5	82.1	73.3	68.9	77.7	64.5	82.1
36	OVERALL	2000	no.imputation	THL	72.2	11.1	61.1	83.3	72.2	66.65	77.75	61.1	83.3
36	OVERALL	3000	no.imputation	THL	75.55	9.45	66.1	85	75.55	70.82	80.28	66.1	85
36	OVERALL	4000	no.imputation	THL	75.8	9.1	66.7	84.9	75.8	71.25	80.35	66.7	84.9
36	OVERALL	5000	no.imputation	THL	76.35	8.05	68.3	84.4	76.35	72.32	80.38	68.3	84.4
36	OVERALL	6000	no.imputation	THL	77.9	9.7	68.2	87.6	77.9	73.05	82.75	68.2	87.6
36	OVERALL	7000	no.imputation	THL	76.65	10.35	66.3	87	76.65	71.47	81.83	66.3	87
36	OVERALL	8000	no.imputation	THL	77.2	10.4	66.8	87.6	77.2	72	82.4	66.8	87.6
36	OVERALL	9000	no.imputation	THL	77.45	10.75	66.7	88.2	77.45	72.08	82.83	66.7	88.2
36	OVERALL	10156	no.imputation	THL	80.2	10.7	69.5	90.9	80.2	74.85	85.55	69.5	90.9
36	NOR	100	no.imputation	THL	50.6	2.56	39	61	50	45.5	56	48.04	53.16
36	NOR	200	no.imputation	THL	49.3	2.36	44	67	47	44	50	46.94	51.66
36	NOR	500	no.imputation	THL	51.7	2.39	39	61	53	45.5	56	49.31	54.09
36	NOR	1000	no.imputation	THL	53.3	2.67	39	61	56	45.5	61	50.63	55.97
36	NOR	2000	no.imputation	THL	56.7	2.5	44	67	58.5	50	61	54.2	59.2
36	NOR	3000	no.imputation	THL	52.12	4.05	39	72	53	42.75	57.25	48.07	56.17
36	NOR	4000	no.imputation	THL	52.9	2.4	39	67	50	50	56	50.5	55.3
36	NOR	5000	no.imputation	THL	48.9	2.64	33	61	50	45.5	54.5	46.26	51.54
36	NOR	6000	no.imputation	THL	52.7	2.43	44	67	50	50	58.25	50.27	55.13
36	NOR	7000	no.imputation	THL	53.4	2.94	39	67	50	50	59.75	50.46	56.34
36	NOR	8000	no.imputation	THL	53.67	2.78	39	61	56	50	61	50.89	56.45
36	NOR	9000	no.imputation	THL	53.9	2.92	39	67	56	45.5	61	50.98	56.82
36	NOR	10156	no.imputation	THL	48.7	2.63	33	61	50	44	50	46.07	51.33
36	SOU	100	no.imputation	THL	65.6	2.47	50	78	67	61	70.75	63.13	68.07
36	SOU	200	no.imputation	THL	62.9	4.03	44	78	64	51.5	75.25	58.87	66.93
36	SOU	500	no.imputation	THL	71.1	2.87	61	89	72	62.5	76.5	68.23	73.97
36	SOU	1000	no.imputation	THL	77.3	1.5	67	83	78	78	78	75.8	78.8
36	SOU	2000	no.imputation	THL	79.5	1.43	72	89	78	78	81.75	78.07	80.93
36	SOU	3000	no.imputation	THL	77.25	3.03	67	89	78	70.75	80.75	74.22	80.28
36	SOU	4000	no.imputation	THL	78.2	2.24	67	89	80.5	72	83	75.96	80.44
36	SOU	5000	no.imputation	THL	75.5	2.64	61	89	75	72	81.75	72.86	78.14
36	SOU	6000	no.imputation	THL	77.8	2.86	61	89	78	73.5	83	74.94	80.66
36	SOU	7000	no.imputation	THL	76.1	2.57	67	89	75	68.25	83	73.53	78.67
36	SOU	8000	no.imputation	THL	75.33	3.06	61	89	78	67	83	72.27	78.39
36	SOU	9000	no.imputation	THL	75.5	2.64	61	89	75	72	81.75	72.86	78.14
36	SOU	10156	no.imputation	THL	70	2.74	61	83	67	62.5	76.5	67.26	72.74
36	OVERALL	100	no.imputation	THL	58.1	7.5	50.6	65.6	58.1	54.35	61.85	50.6	65.6
36	OVERALL	200	no.imputation	THL	56.1	6.8	49.3	62.9	56.1	52.7	59.5	49.3	62.9
36	OVERALL	500	no.imputation	THL	61.4	9.7	51.7	71.1	61.4	56.55	66.25	51.7	71.1
36	OVERALL	1000	no.imputation	THL	65.3	12	53.3	77.3	65.3	59.3	71.3	53.3	77.3
36	OVERALL	2000	no.imputation	THL	68.1	11.4	56.7	79.5	68.1	62.4	73.8	56.7	79.5
36	OVERALL	3000	no.imputation	THL	64.69	12.57	52.12	77.25	64.69	58.4	70.97	52.12	77.26
36	OVERALL	4000	no.imputation	THL	65.55	12.65	52.9	78.2	65.55	59.22	71.88	52.9	78.2
36	OVERALL	5000	no.imputation	THL	62.2	13.3	48.9	75.5	62.2	55.55	68.85	48.9	75.5
36	OVERALL	6000	no.imputation	THL	65.25	12.55	52.7	77.8	65.25	58.98	71.52	52.7	77.8
36	OVERALL	7000	no.imputation	THL	64.75	11.35	53.4	76.1	64.75	59.07	70.42	53.4	76.1
36	OVERALL	8000	no.imputation	THL	64.5	10.83	53.67	75.33	64.5	59.08	69.92	53.67	75.33
36	OVERALL	9000	no.imputation	THL	64.7	10.8	53.9	75.5	64.7	59.3	70.1	53.9	75.5
36	OVERALL	10156	no.imputation	THL	59.35	10.65	48.7	70	59.35	54.03	64.67	48.7	70
36	NOR	100	no.imputation	THL	49	4.93	22	67	53	40.25	59.75	44.07	53.93
36	NOR	200	no.imputation	THL	60.6	3.46	39	72	64	52.75	67	57.14	64.06
36	NOR	500	no.imputation	THL	62.8	3.92	39	78	67	61	70.75	58.88	66.72
36	NOR	1000	no.imputation	THL	63.2	4.05	44	83	61	57.25	69.25	59.15	67.25
36	NOR	2000	no.imputation	THL	72.7	3.01	56	89	72	72	76.5	69.69	75.71
36	NOR	3000	no.imputation	THL	71	2.92	56	83	72	63.75	76.5	68.08	73.92
36	NOR	4000	no.imputation	THL	75	2.71	56	83	78	72	81.75	72.29	77.71
36	NOR	5000	no.imputation	THL	73	2.15	67	83	72	67	78	70.85	75.15
36	NOR	6000	no.imputation	THL	76.7	2.85	61	89	78	72	81.75	73.85	79.55
36	NOR	7000	no.imputation	THL	72.3	2.68	56	83	72	67	78	69.62	74.98
36	NOR	8000	no.imputation	THL	73.5	2.3	67	89	72	67	78	71.2	75.8
36	NOR	9000	no.imputation	THL	75	2.53	61	89	75	72	78	72.47	77.53
36	NOR	10156	no.imputation	THL	78.9	2.55	67	94	78	73.5	81.75	76.35	81.45
36	SOU	100	no.imputation	THL	57.3	2.9	44	72	56	50	65.5	54.4	60.2
36	SOU	200	no.imputation	THL	60	2.14	50	72	61	57.25	61	57.86	62.14
36	SOU	500	no.imputation	THL	65.6	3.87	44	83	64	57.25	76.5	61.73	69.47
36	SOU	1000	no.imputation	THL	71.6	3.46	50	89	72	68.25	76.5	68.14	75.06
36	SOU	2000	no.imputation	THL	73.4	2.96	61	89	72	67	76.5	70.44	76.36
36	SOU	3000	no.imputation	THL	76.2	1.81	67	83	78	73.5	78	74.39	78.01
36	SOU	4000	no.imputation	THL	82.3	2.81	67	94	83.5	78	89	79.49	85.11
36	SOU	5000	no.imputation	THL	83.25	1.47	78	89	83	81.75	84.5	81.78	84.72
36	SOU	6000	no.imputation	THL	85	1.83	78	94	86	79.25	89	83.17	86.83
36	SOU	7000	no.imputation	THL	83.8	2.09	72	94	83	79.25	89	81.71	85.89
36	SOU	8000	no.imputation	THL	82.8	2.24	67	89	83	79.25	89	80.56	85.04
36	SOU	9000	no.imputation	THL	83.2	2.55	67	94	83	79.25	87.5	80.65	85.75
36	SOU	10156	no.imputation	THL	83.1	2.46	72	94	83	79.25	87.5	80.64	85.56
36	OVERALL	100	no.imputation	THL	53.15	4.15	49	57.3	53.15	51.08	55.22	49	57.3
36	OVERALL	200	no.imputation	THL	60.3	0.3	60	60.6	60.3	60.15	60.45	60	60.6
36	OVERALL	500	no.imputation	THL	64.2	1.4	62.8	65.6	64.2	63.5	64.9	62.8	65.6
36	OVERALL	1000	no.imputation	THL	67.4	4.2	63.2	71.6	67.4	65.3	69.5	63.2	71.6
36	OVERALL	2000	no.imputation	THL	73.05	0.35	72.7	73.4	73.05	72.88	73.23	72.7	73.4
36	OVERALL	3000	no.imputation	THL	73.6	2.6	71	76.2	73.6	72.3	74.9	71	76.2
36	OVERALL	4000	no.imputation	THL	78.65	3.65	75	82.3	78.65	76.83	80.47	75	82.3
36	OVERALL	5000	no.imputation	THL	78.12	5.12	73	83.25	78.12	75.56	80.69	73	83.24
36	OVERALL	6000	no.imputation	THL	80.85	4.15	76.7	85	80.85	78.78	82.92	76.7	85
36	OVERALL	7000	no.imputation	THL	78.05	5.75	72.3	83.8	78.05	75.17	80.92	72.3	83.8
36	OVERALL	8000	no.imputation	THL	78.15	4.65	73.5	82.8	78.15	75.83	80.47	73.5	82.8
36	OVERALL	9000	no.imputation	THL	79.1	4.1	75	83.2	79.1	77.05	81.15	75	83.2
36	OVERALL	10156	no.imputation	THL	81	2.1	78.9	83.1	81	79.95	82.05	78.9	83.1
36	NOR	100	no.imputation	THL	52.8	4.43	33	78	50	41.75	61	48.37	57.23
36	NOR	200	no.imputation	THL	50.1	2.95	33	61	56	44	56	47.15	53.05
36	NOR	500	no.imputation	THL	45	3.87	28	61	44	41.25	51.5	41.13	48.87
36	NOR	1000	no.imputation	THL	48.2	3.41	28	61	47	44	58.25	44.79	51.61
36	NOR	2000	no.imputation	THL	45.5	3.63	22	61	50	40.25	50	41.87	49.13
36	NOR	3000	no.imputation	THL	50.5	4.65	22	72	50	45.5	54.5	45.85	55.15
36	NOR	4000	no.imputation	THL	50.6	3.65	33	67	56	44	56	46.95	54.25
36	NOR	5000	no.imputation	THL	52.1	3.05	39	67	50	44	61	49.05	55.15
36	NOR	6000	no.imputation	THL	51.6	3.51	33	67	50	44	59.75	48.09	55.11
36	NOR	7000	no.imputation	THL	47.2	3.21	28	61	50	40.25	50	43.99	50.41
36	NOR	8000	no.imputation	THL	51.2	3.7	28	67	53	45.5	59.75	47.5	54.9
36	NOR	9000	no.imputation	THL	52.8	2.68	33	61	53	50	59.75	50.12	55.48
36	NOR	10156	no.imputation	THL	58	2.78	39	67	58.5	56	65.5	55.22	60.78
36	SOU	100	no.imputation	THL	55.6	2.23	44	67	56	50	61	53.37	57.83
36	SOU	200	no.imputation	THL	59.5	3.55	39	78	61	57.25	65.5	55.95	63.05
36	SOU	500	no.imputation	THL	65.38	2.43	56	72	67	59.75	72	62.95	67.81
36	SOU	1000	no.imputation	THL	68.3	1.86	61	78	69.5	62.5	72	66.44	70.16
36	SOU	2000	no.imputation	THL	75.6	2.92	67	94	75	67	81.75	72.68	78.52
36	SOU	3000	no.imputation	THL	82.1	2.83	72	100	80.5	78	83	79.27	84.93
36	SOU	4000	no.imputation	THL	82.7	2.87	67	94	83	83	89	79.83	85.57
36	SOU	5000	no.imputation	THL	87.7	1.93	78	94	89	84.5	92.75	85.77	89.63
36	SOU	6000	no.imputation	THL	90.3	1.41	83	94	91.5	89	94	88.89	91.71
36	SOU	7000	no.imputation	THL	89.4	1.47	78	94	89	89	92.75	87.93	90.87
36	SOU	8000	no.imputation	THL	91	2.2	78	100	91.5	89	94	88.8	93.2
36	SOU	9000	no.imputation	THL	93.2	1.82	83	100	94	89	98.5	91.38	95.02
36	SOU	10156	no.imputation	THL	93.2	1.82	83	100	94	89	98.5	91.38	95.02
36	OVERALL	100	no.imputation	THL	54.2	1.4	52.8	55.6	54.2	53.5	54.9	52.8	55.6
36	OVERALL	200	no.imputation	THL	54.8	4.7	50.1	59.5	54.8	52.45	57.15	50.1	59.5
36	OVERALL	500	no.imputation	THL	55.19	10.19	45	65.38	55.19	50.09	60.28	45	65.38
