CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
OVERALL	2000	no.imputation	THL	23.04	2.79	8	35.2	25.5	16.3	29.75	20.25	25.83	2
OVERALL	3000	no.imputation	THL	26.36	3.57	7.5	43.4	28	18.85	33.35	22.79	29.93	2
OVERALL	4000	no.imputation	THL	26.79	3.55	6	43.3	27.4	18.95	33.65	23.24	30.34	2
OVERALL	5000	no.imputation	THL	28.25	3.85	6.9	44.7	31.5	20.05	37.15	24.4	32.1	2
OVERALL	6000	no.imputation	THL	30.42	4.25	6.1	49.1	34	20.6	40.95	26.17	34.67	2
OVERALL	7000	no.imputation	THL	31.33	4.49	7.44	55.44	33.89	21.45	40.67	26.84	35.82	2
OVERALL	8000	no.imputation	THL	32.07	5.23	4.7	61.9	32.1	21.25	42	26.84	37.3	2
OVERALL	9000	no.imputation	THL	33.34	5.2	4.7	58	30	22.7	48.7	28.14	38.54	2
OVERALL	10156	no.imputation	THL	34.1	5.25	3	62.86	32.14	24.29	45.78	28.85	39.35	2
TRI	100	no.imputation	THL	14.7	3.06	0	33	16.5	7	20	11.64	17.76	3
TRI	200	no.imputation	THL	15.3	3.59	0	33	13	8.5	25.25	11.71	18.89	3
TRI	500	no.imputation	THL	17.4	4.01	0	40	20	8.5	25.25	13.39	21.41	3
TRI	1000	no.imputation	THL	17.9	2.83	0	33	20	13	20	15.07	20.73	3
TRI	2000	no.imputation	THL	19.3	3.19	7	33	16.5	13	27	16.11	22.49	3
TRI	3000	no.imputation	THL	18.7	2.56	7	33	20	14.75	20	16.14	21.26	3
TRI	4000	no.imputation	THL	18	2.49	0	27	20	14.75	20	15.51	20.49	3
TRI	5000	no.imputation	THL	19.1	2.53	13	33	16.5	13	20	16.57	21.63	3
TRI	6000	no.imputation	THL	16	2.7	0	27	16.5	13	20	13.3	18.7	3
TRI	7000	no.imputation	THL	18.6	2.61	7	33	16.5	13	25.25	15.99	21.21	3
TRI	8000	no.imputation	THL	22.8	2.25	7	33	23.5	20	27	20.55	25.05	3
TRI	9000	no.imputation	THL	21.2	3.4	0	33	20	14.75	31.5	17.8	24.6	3
TRI	10156	no.imputation	THL	16.6	1.49	7	20	20	13	20	15.11	18.09	3
BON	100	no.imputation	THL	10.1	1.42	7	20	7	7	13	8.68	11.52	3
BON	200	no.imputation	THL	8.1	1.27	0	13	7	7	11.5	6.83	9.37	3
BON	500	no.imputation	THL	9.4	2.85	0	27	7	1.75	13	6.55	12.25	3
BON	1000	no.imputation	THL	6.6	1.94	0	13	7	0	13	4.66	8.54	3
BON	2000	no.imputation	THL	3.5	1.17	0	7	3.5	0	7	2.33	4.67	3
BON	3000	no.imputation	THL	5.4	1.64	0	13	7	0	7	3.76	7.04	3
BON	4000	no.imputation	THL	6.7	1.68	0	13	7	1.75	11.5	5.02	8.38	3
BON	5000	no.imputation	THL	8.7	2.42	0	20	7	1.75	13	6.28	11.12	3
BON	6000	no.imputation	THL	10.8	2.23	0	20	7	7	18.25	8.57	13.03	3
BON	7000	no.imputation	THL	8.7	1.96	0	20	7	7	13	6.74	10.66	3
BON	8000	no.imputation	THL	12	2.14	0	20	13	7	18.25	9.86	14.14	3
BON	9000	no.imputation	THL	11.9	2.17	0	27	13	8.5	13	9.73	14.07	3
BON	10156	no.imputation	THL	12.7	1.8	7	20	13	7	18.25	10.9	14.5	3
GSL	100	no.imputation	THL	13.4	3.36	7	33	7	7	13	10.04	16.76	3
GSL	200	no.imputation	THL	17.3	1.8	7	27	20	13	20	15.5	19.1	3
GSL	500	no.imputation	THL	20.1	3.3	7	40	20	13	27	16.8	23.4	3
GSL	1000	no.imputation	THL	23.4	3.02	7	40	23.5	20	27	20.38	26.42	3
GSL	2000	no.imputation	THL	24	4.1	7	47	23.5	14.75	33	19.9	28.1	3
GSL	3000	no.imputation	THL	22.1	3.43	7	40	23.5	14.75	27	18.67	25.53	3
GSL	4000	no.imputation	THL	30.6	4.25	13	53	30	21.75	38.25	26.35	34.85	3
GSL	5000	no.imputation	THL	29.3	2.86	13	47	30	27	33	26.44	32.16	3
GSL	6000	no.imputation	THL	30.1	2.67	20	47	27	27	33	27.43	32.77	3
GSL	7000	no.imputation	THL	31.9	2.38	20	40	33	28.5	38.25	29.52	34.28	3
GSL	8000	no.imputation	THL	34	1.81	27	40	33	28.5	40	32.19	35.81	3
GSL	9000	no.imputation	THL	38.6	1.4	33	47	40	34.75	40	37.2	40	3
GSL	10156	no.imputation	THL	41.3	2.23	33	53	40	34.75	47	39.07	43.53	3
CAR	100	no.imputation	THL	18.7	2.76	7	33	20	13	25.25	15.94	21.46	3
CAR	200	no.imputation	THL	24.1	3.01	7	40	27	20	27	21.09	27.11	3
CAR	500	no.imputation	THL	26.7	4.23	7	47	27	14.75	38.25	22.47	30.93	3
CAR	1000	no.imputation	THL	30	3.19	13	40	30	21.75	40	26.81	33.19	3
CAR	2000	no.imputation	THL	30.7	4.13	13	53	27	27	38.25	26.57	34.83	3
CAR	3000	no.imputation	THL	32.6	4.58	20	60	30	20	38.25	28.02	37.18	3
CAR	4000	no.imputation	THL	35.9	4.24	13	60	33	28.5	40	31.66	40.14	3
CAR	5000	no.imputation	THL	39.4	3.61	27	60	40	28.5	45.25	35.79	43.01	3
CAR	6000	no.imputation	THL	41.3	2.64	33	60	40	34.75	45.25	38.66	43.94	3
CAR	7000	no.imputation	THL	41.2	3.62	33	60	33	33	47	37.58	44.82	3
CAR	8000	no.imputation	THL	44.8	2.68	40	67	40	40	47	42.12	47.48	3
CAR	9000	no.imputation	THL	51.3	3.84	40	73	50	40	58.25	47.46	55.14	3
CAR	10156	no.imputation	THL	48.7	3	40	67	47	40	53	45.7	51.7	3
BRA	100	no.imputation	THL	15.8	2.86	7	40	13	13	13	12.94	18.66	3
BRA	200	no.imputation	THL	18.8	2.91	7	33	20	10.25	25.25	15.89	21.71	3
BRA	500	no.imputation	THL	17.9	3.27	0	33	20	13	20	14.63	21.17	3
BRA	1000	no.imputation	THL	17.3	3.18	0	33	16.5	13	25.25	14.12	20.48	3
BRA	2000	no.imputation	THL	18	4.1	7	47	13	8.5	20	13.9	22.1	3
BRA	3000	no.imputation	THL	18	2.81	7	33	16.5	13	25.25	15.19	20.81	3
BRA	4000	no.imputation	THL	20.7	3.77	0	40	20	14.75	27	16.93	24.47	3
BRA	5000	no.imputation	THL	16	3.46	0	40	16.5	8.5	20	12.54	19.46	3
BRA	6000	no.imputation	THL	20.7	3.83	0	47	20	14.75	25.25	16.87	24.53	3
BRA	7000	no.imputation	THL	21.3	3.11	7	40	20	14.75	25.25	18.19	24.41	3
BRA	8000	no.imputation	THL	21.5	2.21	7	27	23.5	20	27	19.29	23.71	3
BRA	9000	no.imputation	THL	23.3	3.76	0	40	27	14.75	31.5	19.54	27.06	3
BRA	10156	no.imputation	THL	22.1	3.43	7	40	23.5	14.75	27	18.67	25.53	3
CAN	100	no.imputation	THL	15.3	3.53	0	33	13	7	20	11.77	18.83	3
CAN	200	no.imputation	THL	14.6	4.52	0	40	13	7	13	10.08	19.12	3
CAN	500	no.imputation	THL	13.9	3.35	0	40	13	8.5	13	10.55	17.25	3
CAN	1000	no.imputation	THL	15.4	2.45	7	27	13	8.5	20	12.95	17.85	3
CAN	2000	no.imputation	THL	13.2	2.24	0	27	13	13	13	10.96	15.44	3
CAN	3000	no.imputation	THL	9.8	2.24	0	20	13	3.25	13	7.56	12.04	3
CAN	4000	no.imputation	THL	9.4	2.24	0	20	7	7	13	7.16	11.64	3
CAN	5000	no.imputation	THL	7.4	2.07	0	20	7	1.75	11.5	5.33	9.47	3
CAN	6000	no.imputation	THL	6.7	2.62	0	20	3.5	0	11.5	4.08	9.32	3
CAN	7000	no.imputation	THL	6	1.81	0	13	7	0	11.5	4.19	7.81	3
CAN	8000	no.imputation	THL	7.4	1.51	0	13	7	7	11.5	5.89	8.91	3
CAN	9000	no.imputation	THL	6	1.81	0	13	7	0	11.5	4.19	7.81	3
CAN	10156	no.imputation	THL	3.5	1.17	0	7	3.5	0	7	2.33	4.67	3
SNS	100	no.imputation	THL	10.1	2.67	0	27	7	7	13	7.43	12.77	3
SNS	200	no.imputation	THL	16	3.15	0	33	16.5	8.5	20	12.85	19.15	3
SNS	500	no.imputation	THL	24	2.49	13	40	20	20	27	21.51	26.49	3
SNS	1000	no.imputation	THL	22.1	2.45	7	33	23.5	20	27	19.65	24.55	3
SNS	2000	no.imputation	THL	21.3	3.72	7	47	20	13	25.25	17.58	25.02	3
SNS	3000	no.imputation	THL	17.9	2.66	7	33	13	13	25.25	15.24	20.56	3
SNS	4000	no.imputation	THL	22	3.96	7	40	20	13	31.5	18.04	25.96	3
SNS	5000	no.imputation	THL	21.5	3.1	7	40	20	20	27	18.4	24.6	3
SNS	6000	no.imputation	THL	19.3	3.01	7	33	20	13	25.25	16.29	22.31	3
SNS	7000	no.imputation	THL	16.5	1.57	13	27	13	13	20	14.93	18.07	3
SNS	8000	no.imputation	THL	19.9	2.01	13	33	20	14.75	20	17.89	21.91	3
SNS	9000	no.imputation	THL	22.6	2.5	13	33	23.5	14.75	27	20.1	25.1	3
SNS	10156	no.imputation	THL	18.6	1.4	13	27	20	14.75	20	17.2	20	3
SEA	100	no.imputation	THL	27.3	2.08	13	33	27	27	33	25.22	29.38	3
SEA	200	no.imputation	THL	30	3.04	13	47	30	27	33	26.96	33.04	3
SEA	500	no.imputation	THL	33.3	3.58	13	53	33	27	38.25	29.72	36.88	3
SEA	1000	no.imputation	THL	32	3.29	20	47	33	21.75	38.25	28.71	35.29	3
SEA	2000	no.imputation	THL	39.3	3.91	13	53	40	34.75	47	35.39	43.21	3
SEA	3000	no.imputation	THL	36.7	4.16	20	53	40	23.25	47	32.54	40.86	3
SEA	4000	no.imputation	THL	32	3.82	13	53	30	27	38.25	28.18	35.82	3
SEA	5000	no.imputation	THL	35.4	4.43	20	60	30	27	45.25	30.97	39.83	3
SEA	6000	no.imputation	THL	38	3.7	20	53	36.5	28.5	47	34.3	41.7	3
SEA	7000	no.imputation	THL	35.4	5.04	7	60	36.5	27	45.25	30.36	40.44	3
SEA	8000	no.imputation	THL	38.6	5.05	13	60	40	28.5	49.75	33.55	43.65	3
SEA	9000	no.imputation	THL	37.2	4.78	13	60	36.5	28.5	49.75	32.42	41.98	3
SEA	10156	no.imputation	THL	40.5	3.77	20	60	40	33	49.75	36.73	44.27	3
BOO	100	no.imputation	THL	27.4	4.28	7	47	23.5	20	40	23.12	31.68	3
BOO	200	no.imputation	THL	31.4	5.13	7	53	33	21.75	45.25	26.27	36.53	3
BOO	500	no.imputation	THL	25.4	4.64	7	53	23.5	14.75	27	20.76	30.04	3
BOO	1000	no.imputation	THL	28.1	3.14	13	47	27	21.75	31.5	24.96	31.24	3
BOO	2000	no.imputation	THL	33.5	4.74	7	60	33.5	27	40	28.76	38.24	3
BOO	3000	no.imputation	THL	36.7	4.39	13	60	40	28.5	45.25	32.31	41.09	3
BOO	4000	no.imputation	THL	41.3	2.84	33	60	40	33	47	38.46	44.14	3
BOO	5000	no.imputation	THL	42.5	2.46	33	53	40	40	49.75	40.04	44.96	3
BOO	6000	no.imputation	THL	40.8	2.13	27	47	40	40	47	38.67	42.93	3
BOO	7000	no.imputation	THL	39.9	2.59	27	53	40	34.75	40	37.31	42.49	3
BOO	8000	no.imputation	THL	39.3	2.31	27	53	40	34.75	40	36.99	41.61	3
BOO	9000	no.imputation	THL	44.2	1.14	40	47	47	40	47	43.06	45.34	3
BOO	10156	no.imputation	THL	48.7	1.96	40	60	47	47	53	46.74	50.66	3
CCO	100	no.imputation	THL	15.2	2.27	0	27	13	13	20	12.93	17.47	3
CCO	200	no.imputation	THL	18.6	2.03	13	27	16.5	13	25.25	16.57	20.63	3
CCO	500	no.imputation	THL	22.7	3.85	7	40	20	14.75	31.5	18.85	26.55	3
CCO	1000	no.imputation	THL	24.6	4.65	0	40	26.5	14.75	38.25	19.95	29.25	3
CCO	2000	no.imputation	THL	22	3	7	33	27	13	27	19	25	3
CCO	3000	no.imputation	THL	29.3	2.66	13	40	30	27	33	26.64	31.96	3
CCO	4000	no.imputation	THL	31.4	2.2	20	40	30	27	38.25	29.2	33.6	3
CCO	5000	no.imputation	THL	27.9	3.12	13	47	30	20	33	24.78	31.02	3
CCO	6000	no.imputation	THL	31.4	2.82	13	40	30	27	40	28.58	34.22	3
CCO	7000	no.imputation	THL	34.7	2.59	20	47	36.5	28.5	40	32.11	37.29	3
CCO	8000	no.imputation	THL	35.4	2.42	20	40	40	30.25	40	32.98	37.82	3
CCO	9000	no.imputation	THL	37.3	2.08	27	47	36.5	33	40	35.22	39.38	3
CCO	10156	no.imputation	THL	40.8	2.68	27	53	40	40	47	38.12	43.48	3
RHO	100	no.imputation	THL	14	1.81	7	20	13	8.5	20	12.19	15.81	3
RHO	200	no.imputation	THL	14.1	2.7	0	27	16.5	7	20	11.4	16.8	3
RHO	500	no.imputation	THL	17.3	2.08	7	27	16.5	13	20	15.22	19.38	3
RHO	1000	no.imputation	THL	17.5	3.59	7	40	16.5	7	25.25	13.91	21.09	3
RHO	2000	no.imputation	THL	21.3	1.97	13	33	20	20	25.25	19.33	23.27	3
RHO	3000	no.imputation	THL	24.7	2.95	7	40	23.5	20	31.5	21.75	27.65	3
RHO	4000	no.imputation	THL	28	2.78	13	40	27	21.75	33	25.22	30.78	3
RHO	5000	no.imputation	THL	25.9	3.23	13	47	20	20	33	22.67	29.13	3
RHO	6000	no.imputation	THL	26.8	3.85	7	47	23.5	20	36.75	22.95	30.65	3
RHO	7000	no.imputation	THL	28	2.57	20	40	27	20	33	25.43	30.57	3
RHO	8000	no.imputation	THL	27.2	2.29	13	33	30	21.75	33	24.91	29.49	3
RHO	9000	no.imputation	THL	27.1	2.49	13	33	33	20	33	24.61	29.59	3
RHO	10156	no.imputation	THL	27.3	1.8	20	33	27	21.75	33	25.5	29.1	3
OVERALL	100	no.imputation	THL	16.55	1.77	10.1	27.4	15.2	13.7	17.25	14.78	18.32	3
OVERALL	200	no.imputation	THL	18.94	2.11	8.1	31.4	17.3	14.95	21.45	16.83	21.05	3
OVERALL	500	no.imputation	THL	20.74	1.99	9.4	33.3	20.1	17.35	24.7	18.75	22.73	3
OVERALL	1000	no.imputation	THL	21.35	2.23	6.6	32	22.1	17.4	26.35	19.12	23.58	3
OVERALL	2000	no.imputation	THL	22.37	2.94	3.5	39.3	21.3	18.65	27.35	19.43	25.31	3
OVERALL	3000	no.imputation	THL	22.9	3.11	5.4	36.7	22.1	17.95	30.95	19.79	26.01	3
OVERALL	4000	no.imputation	THL	25.09	3.26	6.7	41.3	28	19.35	31.7	21.83	28.35	3
OVERALL	5000	no.imputation	THL	24.83	3.51	7.4	42.5	25.9	17.55	32.35	21.32	28.34	3
OVERALL	6000	no.imputation	THL	25.63	3.59	6.7	41.3	26.8	17.65	34.7	22.04	29.22	3
OVERALL	7000	no.imputation	THL	25.65	3.68	6	41.2	28	17.55	35.05	21.97	29.33	3
OVERALL	8000	no.imputation	THL	27.54	3.6	7.4	44.8	27.2	20.7	37	23.94	31.14	3
OVERALL	9000	no.imputation	THL	29.15	4.17	6	51.3	27.1	21.9	37.95	24.98	33.32	3
OVERALL	10156	no.imputation	THL	29.16	4.7	3.5	48.7	27.3	17.6	41.05	24.46	33.86	3
TRI	100	no.imputation	THL	17.9	3.02	7	40	13	13	20	14.88	20.92	4
TRI	200	no.imputation	THL	15.4	2.45	7	27	13	8.5	20	12.95	17.85	4
TRI	500	no.imputation	THL	16.7	2.52	7	27	13	13	25.25	14.18	19.22	4
TRI	1000	no.imputation	THL	22.6	3.31	7	40	20	14.75	31.5	19.29	25.91	4
TRI	2000	no.imputation	THL	20.6	2.77	13	40	20	13	25.25	17.83	23.37	4
TRI	3000	no.imputation	THL	22.6	3.21	13	40	20	14.75	25.25	19.39	25.81	4
TRI	4000	no.imputation	THL	24.8	2.27	13	40	27	20	27	22.53	27.07	4
TRI	5000	no.imputation	THL	24.7	2.01	13	33	27	20	27	22.69	26.71	4
TRI	6000	no.imputation	THL	23.4	1.49	20	33	20	20	27	21.91	24.89	4
TRI	7000	no.imputation	THL	26.2	1.19	20	33	27	27	27	25.01	27.39	4
TRI	8000	no.imputation	THL	22.8	1.14	20	27	20	20	27	21.66	23.94	4
TRI	9000	no.imputation	THL	22.7	1.8	13	33	20	20	27	20.9	24.5	4
TRI	10156	no.imputation	THL	23.3	2.04	13	33	20	20	27	21.26	25.34	4
BON	100	no.imputation	THL	13.3	2.2	0	20	13	8.5	20	11.1	15.5	4
BON	200	no.imputation	THL	12.1	3.12	0	27	10	7	18.25	8.98	15.22	4
BON	500	no.imputation	THL	9.4	2.47	0	27	7	7	13	6.93	11.87	4
BON	1000	no.imputation	THL	12	2.57	0	20	13	7	20	9.43	14.57	4
BON	2000	no.imputation	THL	10	2.97	0	33	7	7	13	7.03	12.97	4
BON	3000	no.imputation	THL	12.6	2.07	0	20	13	8.5	18.25	10.53	14.67	4
BON	4000	no.imputation	THL	12.6	3.17	0	33	13	7	18.25	9.43	15.77	4
BON	5000	no.imputation	THL	14.6	2.21	7	27	13	13	13	12.39	16.81	4
BON	6000	no.imputation	THL	15.4	2.45	7	27	13	8.5	20	12.95	17.85	4
BON	7000	no.imputation	THL	16.1	2.47	7	27	16.5	8.5	20	13.63	18.57	4
BON	8000	no.imputation	THL	16.1	2.47	7	27	16.5	8.5	20	13.63	18.57	4
BON	9000	no.imputation	THL	13.3	2.2	0	20	13	8.5	20	11.1	15.5	4
BON	10156	no.imputation	THL	11.2	0.92	7	13	13	8.5	13	10.28	12.12	4
GSL	100	no.imputation	THL	11.2	3.71	0	40	13	1.75	13	7.49	14.91	4
GSL	200	no.imputation	THL	15.9	2.3	0	27	16.5	13	20	13.6	18.2	4
GSL	500	no.imputation	THL	16.7	3.05	0	27	20	14.75	20	13.65	19.75	4
GSL	1000	no.imputation	THL	16.5	2.87	0	33	13	13	20	13.63	19.37	4
GSL	2000	no.imputation	THL	22.5	4.13	7	47	16.5	13	33	18.37	26.63	4
GSL	3000	no.imputation	THL	27.4	3.72	7	53	27	21.75	31.5	23.68	31.12	4
GSL	4000	no.imputation	THL	27.4	4.41	7	47	27	14.75	40	22.99	31.81	4
GSL	5000	no.imputation	THL	33.4	3.62	13	47	36.5	27	40	29.78	37.02	4
GSL	6000	no.imputation	THL	32.6	3.63	7	47	33	33	40	28.97	36.23	4
GSL	7000	no.imputation	THL	34	4.04	13	53	33	27	45.25	29.96	38.04	4
GSL	8000	no.imputation	THL	35.4	3.63	20	47	40	23.25	45.25	31.77	39.03	4
GSL	9000	no.imputation	THL	39.5	2.54	27	47	40	34.75	47	36.96	42.04	4
GSL	10156	no.imputation	THL	35.3	2.01	27	47	33	33	40	33.29	37.31	4
CAR	100	no.imputation	THL	14	3.77	0	33	16.5	1.75	20	10.23	17.77	4
CAR	200	no.imputation	THL	19.3	2.53	7	33	20	13	25.25	16.77	21.83	4
CAR	500	no.imputation	THL	21.2	2.98	13	40	20	13	25.25	18.22	24.18	4
CAR	1000	no.imputation	THL	23.9	2.47	13	33	23.5	20	31.5	21.43	26.37	4
CAR	2000	no.imputation	THL	35.4	2.83	20	47	36.5	28.5	40	32.57	38.23	4
CAR	3000	no.imputation	THL	43.2	3.04	33	60	40	34.75	51.5	40.16	46.24	4
CAR	4000	no.imputation	THL	42	3.61	27	67	40	34.75	45.25	38.39	45.61	4
CAR	5000	no.imputation	THL	48	2.97	33	60	47	47	53	45.03	50.97	4
CAR	6000	no.imputation	THL	51.4	4.18	27	80	50	47	53	47.22	55.58	4
CAR	7000	no.imputation	THL	56.1	3.82	47	80	50	47	60	52.28	59.92	4
CAR	8000	no.imputation	THL	55.3	1.71	47	60	56.5	53	60	53.59	57.01	4
CAR	9000	no.imputation	THL	54.6	3.31	33	67	60	53	60	51.29	57.91	4
CAR	10156	no.imputation	THL	59.9	4.33	33	80	60	54.75	69.75	55.57	64.23	4
BRA	100	no.imputation	THL	12	2.39	0	27	13	7	13	9.61	14.39	4
BRA	200	no.imputation	THL	15.3	2.01	7	27	13	13	20	13.29	17.31	4
BRA	500	no.imputation	THL	18	2.7	0	27	20	13	25.25	15.3	20.7	4
BRA	1000	no.imputation	THL	16.8	2.69	7	27	16.5	8.5	25.25	14.11	19.49	4
BRA	2000	no.imputation	THL	20.6	2.14	13	33	20	14.75	25.25	18.46	22.74	4
BRA	3000	no.imputation	THL	20.6	2.38	13	33	20	13	27	18.22	22.98	4
BRA	4000	no.imputation	THL	21.9	2.96	7	33	20	14.75	31.5	18.94	24.86	4
BRA	5000	no.imputation	THL	20.7	1.63	13	27	20	20	25.25	19.07	22.33	4
BRA	6000	no.imputation	THL	20.8	2.37	7	27	23.5	14.75	27	18.43	23.17	4
BRA	7000	no.imputation	THL	22.8	1.55	13	27	23.5	20	27	21.25	24.35	4
BRA	8000	no.imputation	THL	21.5	2.21	7	27	23.5	20	27	19.29	23.71	4
BRA	9000	no.imputation	THL	23.9	2.69	13	33	27	14.75	31.5	21.21	26.59	4
BRA	10156	no.imputation	THL	23.4	2.66	7	33	27	20	27	20.74	26.06	4
CAN	100	no.imputation	THL	7.5	2.91	0	27	7	0	7	4.59	10.41	4
CAN	200	no.imputation	THL	7.5	1.83	0	20	7	7	7	5.67	9.33	4
CAN	500	no.imputation	THL	9.4	1.73	0	20	7	7	13	7.67	11.13	4
CAN	1000	no.imputation	THL	10.1	3.03	0	27	7	1.75	18.25	7.07	13.13	4
CAN	2000	no.imputation	THL	12	1.61	7	20	13	7	13	10.39	13.61	4
CAN	3000	no.imputation	THL	11.3	2.42	0	20	13	7	18.25	8.88	13.72	4
CAN	4000	no.imputation	THL	8.8	1.69	0	20	7	7	11.5	7.11	10.49	4
CAN	5000	no.imputation	THL	9.3	1.99	0	20	10	7	13	7.31	11.29	4
CAN	6000	no.imputation	THL	7.4	1.51	0	13	7	7	11.5	5.89	8.91	4
CAN	7000	no.imputation	THL	7.4	1.51	0	13	7	7	11.5	5.89	8.91	4
CAN	8000	no.imputation	THL	6	1.81	0	13	7	0	11.5	4.19	7.81	4
CAN	9000	no.imputation	THL	4.8	1.43	0	13	7	0	7	3.37	6.23	4
CAN	10156	no.imputation	THL	4.9	1.07	0	7	7	1.75	7	3.83	5.97	4
SNS	100	no.imputation	THL	15.3	3.59	0	33	13	8.5	25.25	11.71	18.89	4
SNS	200	no.imputation	THL	18	2.61	7	33	20	13	20	15.39	20.61	4
SNS	500	no.imputation	THL	24	3.82	13	47	23.5	13	27	20.18	27.82	4
SNS	1000	no.imputation	THL	26.6	4.42	7	53	27	14.75	33	22.18	31.02	4
SNS	2000	no.imputation	THL	20.7	4.05	7	47	16.5	13	27	16.65	24.75	4
SNS	3000	no.imputation	THL	17.9	2.66	7	33	13	13	25.25	15.24	20.56	4
SNS	4000	no.imputation	THL	17.9	3.33	0	40	16.5	13	20	14.57	21.23	4
SNS	5000	no.imputation	THL	18	4.15	0	47	13	13	25.25	13.85	22.15	4
SNS	6000	no.imputation	THL	18.6	3.82	0	40	16.5	13	25.25	14.78	22.42	4
SNS	7000	no.imputation	THL	16.8	2.69	7	27	16.5	8.5	25.25	14.11	19.49	4
SNS	8000	no.imputation	THL	16.6	2.83	0	33	20	13	20	13.77	19.43	4
SNS	9000	no.imputation	THL	14.7	2.79	0	27	13	8.5	20	11.91	17.49	4
SNS	10156	no.imputation	THL	12.7	2.52	0	27	13	7	18.25	10.18	15.22	4
SEA	100	no.imputation	THL	26.7	5.18	0	47	30	14.75	38.25	21.52	31.88	4
SEA	200	no.imputation	THL	26	5.61	0	53	26.5	10.25	40	20.39	31.61	4
SEA	500	no.imputation	THL	32.7	3.76	20	53	30	21.75	40	28.94	36.46	4
SEA	1000	no.imputation	THL	35.3	3.3	20	53	33	28.5	43.5	32	38.6	4
SEA	2000	no.imputation	THL	32.6	2.51	20	40	33	28.5	40	30.09	35.11	4
SEA	3000	no.imputation	THL	35.4	3.72	20	53	36.5	27	45.25	31.68	39.12	4
SEA	4000	no.imputation	THL	32	3.39	20	53	30	27	33	28.61	35.39	4
SEA	5000	no.imputation	THL	37.4	2.99	27	53	36.5	28.5	45.25	34.41	40.39	4
SEA	6000	no.imputation	THL	38.6	2.97	27	60	36.5	33	40	35.63	41.57	4
SEA	7000	no.imputation	THL	44.7	3.65	33	67	43.5	34.75	47	41.05	48.35	4
SEA	8000	no.imputation	THL	43.4	3.02	27	60	43.5	40	47	40.38	46.42	4
SEA	9000	no.imputation	THL	46.2	2.68	27	60	47	47	47	43.52	48.88	4
SEA	10156	no.imputation	THL	45.4	2.8	40	67	40	40	47	42.6	48.2	4
BOO	100	no.imputation	THL	16.6	1.82	7	27	16.5	13	20	14.78	18.42	4
BOO	200	no.imputation	THL	18.6	2.9	7	33	20	13	20	15.7	21.5	4
BOO	500	no.imputation	THL	24.1	3.08	13	47	23.5	20	27	21.02	27.18	4
BOO	1000	no.imputation	THL	28.8	3.97	7	47	27	20	40	24.83	32.77	4
BOO	2000	no.imputation	THL	30.5	4	13	53	33	21.75	38.25	26.5	34.5	4
BOO	3000	no.imputation	THL	34.1	3.48	20	53	30	27	43.5	30.62	37.58	4
BOO	4000	no.imputation	THL	41.3	4.31	20	60	40	33	51.5	36.99	45.61	4
BOO	5000	no.imputation	THL	40.2	4.98	20	67	40	27	47	35.22	45.18	4
BOO	6000	no.imputation	THL	42.8	4.44	20	60	47	30.25	51.5	38.36	47.24	4
BOO	7000	no.imputation	THL	44.8	5.26	20	67	43.5	30.25	60	39.54	50.06	4
BOO	8000	no.imputation	THL	46.7	5.65	20	67	50	33	60	41.05	52.35	4
BOO	9000	no.imputation	THL	48.5	3.89	33	60	53	34.75	60	44.61	52.39	4
BOO	10156	no.imputation	THL	42.7	3.18	27	60	43.5	34.75	47	39.52	45.88	4
CCO	100	no.imputation	THL	19.4	2.69	7	33	20	14.75	25.25	16.71	22.09	4
CCO	200	no.imputation	THL	21.4	2.39	7	33	20	20	27	19.01	23.79	4
CCO	500	no.imputation	THL	20	2.44	7	33	20	14.75	25.25	17.56	22.44	4
CCO	1000	no.imputation	THL	24.8	3.4	7	40	27	21.75	31.5	21.4	28.2	4
CCO	2000	no.imputation	THL	22.1	2.94	7	33	23.5	20	27	19.16	25.04	4
CCO	3000	no.imputation	THL	26.7	2.44	13	40	27	21.75	31.5	24.26	29.14	4
CCO	4000	no.imputation	THL	29.3	3.12	7	40	33	27	33	26.18	32.42	4
CCO	5000	no.imputation	THL	28.7	3.57	13	53	27	21.75	31.5	25.13	32.27	4
CCO	6000	no.imputation	THL	33.4	2.44	27	47	33	27	33	30.96	35.84	4
CCO	7000	no.imputation	THL	39.9	2.79	27	53	40	33	45.25	37.11	42.69	4
CCO	8000	no.imputation	THL	41.3	3.37	27	53	43.5	33	51.5	37.93	44.67	4
CCO	9000	no.imputation	THL	41.4	2.39	27	53	40	40	47	39.01	43.79	4
CCO	10156	no.imputation	THL	42.8	3.04	20	53	47	41.75	47	39.76	45.84	4
RHO	100	no.imputation	THL	19.4	4.26	0	40	20	10.25	27	15.14	23.66	4
RHO	200	no.imputation	THL	18.1	3.6	0	33	20	8.5	27	14.5	21.7	4
RHO	500	no.imputation	THL	26.7	2.93	7	40	27	21.75	33	23.77	29.63	4
RHO	1000	no.imputation	THL	31.1	4.7	13	60	33	18	38.25	26.4	35.8	4
RHO	2000	no.imputation	THL	30.1	3.03	20	47	27	21.75	38.25	27.07	33.13	4
RHO	3000	no.imputation	THL	28	3.67	13	53	27	20	31.5	24.33	31.67	4
RHO	4000	no.imputation	THL	28	2.78	13	40	27	21.75	33	25.22	30.78	4
